title,rank,rating,popularity,members,types,episode,status,aired,premiered,producers,licensor,studio,source,genres,theme,demographic,duration,age,favorites

Shingeki no Kyojin,109,8.53,1,3633574,TV,25,Finished Airing,"Apr 7, 2013 to Sep 29, 2013",Spring 2013,"['Production I.G', 'Dentsu', 'Mainichi Broadcasting System', 'Pony Canyon', 'Kodansha', 'Mad Box', 'Pony Canyon Enterprise']",Funimation,Wit Studio,Manga,"['Action', 'Award Winning', 'Drama', 'Suspense']",nan,Shounen,24 min. per ep.,R - 17+ (violence & profanity),159120

Death Note,78,8.62,2,3609921,TV,37,Finished Airing,"Oct 4, 2006 to Jun 27, 2007",Fall 2006,"['VAP', 'Konami', 'Ashi Productions', 'Nippon Television Network', 'Shueisha']",VIZ Media,Madhouse,Manga,"['Supernatural', 'Suspense']",Psychological,Shounen,23 min. per ep.,R - 17+ (violence & profanity),163637

Fullmetal Alchemist: Brotherhood,2,9.11,3,3076592,TV,64,Finished Airing,"Apr 5, 2009 to Jul 4, 2010",Spring 2009,"['Aniplex', 'Square Enix', 'Mainichi Broadcasting System', 'Studio Moriken']",Funimation,Bones,Manga,"['Action', 'Adventure', 'Drama', 'Fantasy']",Military,Shounen,24 min. per ep.,R - 17+ (violence & profanity),212633

One Punch Man,126,8.50,4,2969883,TV,12,Finished Airing,"Oct 5, 2015 to Dec 21, 2015",Fall 2015,"['TV Tokyo', 'Bandai Visual', 'Lantis', 'Asatsu DK', 'Banpresto', 'Good Smile Company', 'Shueisha', 'JR East Marketing & Communications']",VIZ Media,Madhouse,manga,"['Action', 'Comedy']",nan,Seinen,24 min. per ep.,R - 17+ (violence & profanity),60936

Sword Art Online,3084,7.20,5,2885687,TV,25,Finished Airing,"Jul 8, 2012 to Dec 23, 2012",Summer 2012,"['Aniplex', 'Genco', 'DAX Production', 'ASCII Media Works', 'Bandai Namco Games']",Aniplex of America,A-1 Pictures,novel,"['Action', 'Adventure', 'Fantasy', 'Romance']",nan,nan,23 min. per ep.,PG-13 - Teens 13 or older,66027

Boku no Hero Academia,702,7.91,6,2798365,TV,13,Finished Airing,"Apr 3, 2016 to Jun 26, 2016",Spring 2016,"['Dentsu', 'Mainichi Broadcasting System', 'Movic', 'TOHO animation', 'Shueisha']",Funimation,Bones,Manga,[],nan,Shounen,24 min. per ep.,PG-13 - Teens 13 or older,52639

Kimetsu no Yaiba,117,8.52,7,2679372,TV,26,Finished Airing,"Apr 6, 2019 to Sep 28, 2019",Spring 2019,"['Aniplex', 'Shueisha']",Aniplex of America,ufotable,Manga,"['Action', 'Award Winning', 'Fantasy']",Historical,Shounen,23 min. per ep.,R - 17+ (violence & profanity),85366

