,name,sold,rating,price,city
0,Tas Wanita Hush Puppies Dumpling Bag S 2Tone Pink/Navy - Pink/Navy,50.0,5.0,249500,Kota Tangerang
1,Tas Wanita Hush Puppies Dumpling Bag S 2Tone Maroon/Green - Maroon/Green,30.0,4.6,249500,Kota Tangerang
3,tas import C5 tas selempang wanita murah - Hitam,,,83300,
6,Paris Lowell Tas SlingBag Wanita Selempang Multifungsi Import - 3113 - Maroon,,,169950,
9,Tas Wanita Besar New Ashley Zipper Black Merche,,,165000,
10,MINISO Tas Wanita Tas Slempang Wanita Classic Tas Ootd Slinbag Wanita - Apricot,,,69900,
56,SLING PHONE BAG METTA SLING POUCH WALLET WANITA PRIA SLING POUCH -BLUE - BLUE,250.0,4.9,49000,Kota Tangerang
57,Sling bag wanita original brand suoyate tas slempang perempuan - S1094,29.0,5.0,97000,Jakarta Barat
58,MYNT by MAYONETTE Misun Sling Bag HP - Tas Wanita Terbaru - Mocca,60.0,4.7,49900,Kab. Tangerang
59,TS131 Tas Selempang Mini Wanita Harajuku Waterproof Sling Bag - sakura girl,3000.0,4.9,27500,Jakarta Barat
60,Tas tote bag wanita kanvas owl gajah import tas thailand bangkok,750.0,4.5,35000,Kota Bekasi
61,Pamole - Tas Selempang Wanita Bahan Kanvas Premium - Rana Series - Hitam,1000.0,5.0,153000,Kota Bandung
62,Tas Kipling selempang wanita import / 12188 - MAROON,250.0,4.9,59800,Jakarta Utara
63,Tas Hp Wanita Selempang Korea Mika Touch Screen Model Import KATIE - Hitam,2000.0,4.8,50000,Kota Bandung
64,[ZEA OFFICIAL] Alvine Sling Bag - Tas Fashion - Tas Selempang wanita - Cream,100.0,4.9,55000,Kab. Lamongan
65,TOTE BAG PRIA WANITA TAS JINJING EDBERT TAS LAPTOP HAND BAG PRIA - BLACK,1000.0,4.9,85000,Kota Tangerang
66,Tas kipling selempang wanita import / 12229 - GOLD,1000.0,4.9,68000,Jakarta Utara
67,Tas Selempang Pria Fourtyfour Airfox 2.0 - Slingbag Casual Pria Wanita - Navy,250.0,4.9,64900,Jakarta Barat
68,Tas Slempang Dompet Kipling Wanita Import Mini 2 Tali Kp34,1000.0,4.8,36000,Jakarta Barat
69,Tas Tangan Wanita Silvertote Georgie Canvas Taupe,10.0,4.5,163000,Kota Bandung
70,TAS SELEMPANG WANITA IMPORT KULIT HITAM RATAJE TA669B5 SHOULDER SLING,90.0,4.7,119900,Kota Tangerang
71,tas selempang wanita import sling bag hand bag wanita tas kerja wanita - BROWN061,40.0,5.0,180000,Jakarta Utara
72,Tas Wanita Ashley Zipper Blossom Peach Merche,50.0,5.0,165000,Jakarta Selatan
73,Mayonette Pufina Tote Bag - Tas Bahu Wanita Kanvas Korean Style Terbar - Coffee,70.0,4.8,85000,Kab. Tangerang
74,Marawa Quna Poke Fowl Tas Small Bag Catik Tas Selempang Wanita 1 Paket - QUNA FOWL,10.0,5.0,115000,Kab. Tangerang
75,SLP081 - LUXURY TAS DOMPET PANJANG SELEMPANG KULIT HP WANITA SLING BAG - GREY,500.0,4.9,79000,Jakarta Barat
76,JIMS HONEY - SHELLY BAG - SLING BAG - TAS SELEMPANG WANITA - BLUE,60.0,5.0,180000,Jakarta Utara
90,Tas selempang wanita korea serut Eloise Khaki Beauty Gum,100.0,4.9,90000,Jakarta Barat
92,ByVedlyn Yura Tas Selempang Cantik Import Wanita Elegan - Black,25.0,5.0,134000,Kota Surabaya
93,Berrybenka - Tas Selempang Wanita Sophie Rachel Quilted Sling Bag - Brown,100.0,4.9,150000,Kota Tangerang Selatan
94,Tas Wanit/Tas Selempang Koper Mini/Tas Selempang Wanita 029 - SILVER,100.0,4.9,48800,Jakarta Utara
95,Jims Honey - Riana Bag Tas Sling Bag Wanita - Orange,100.0,4.9,120000,Jakarta Utara
96,Dompet Hp Wanita Selempang Tali Panjang Tas Dompet Handphone Ala Korea - Hitam,100.0,4.9,54900,Jakarta Barat
97,Tas Wanita Besar Hobo Light Grey Merche,50.0,5.0,165000,Jakarta Selatan
98,"4 WARNA TAS SELEMPANG CANVAS SUEDING PRIA WANITA - white, -+ 34* 34*8 cm",250.0,4.9,60500,Kab. Bandung
99,Tas Selempang Wanita Import Warna Hitam Khaki Coklat Merk Ouogi - P02 Hitam,1000.0,4.8,56900,Jakarta Timur
